location,longitude,latitude
lebl,2.0783,41.2969
lirf,12.2389,41.8003
omdb,55.3644,25.2528
eham,4.7642,52.3081
ukbb,30.8933,50.3447
ltfm,28.7519,41.2753
eddm,11.7861,48.3538
haab,38.7994,8.975
lszh,8.5481,47.4581
epwa,20.9672,52.1658
egll,-0.4614,51.4775
lfpg,2.5478,49.0097
lkpr,14.26,50.1008
gmmx,-8.0408,31.6086
gmmn,-7.5817,33.3642
zspd,121.7933,31.145
vhhh,113.9147,22.3089
ugtb,44.9547,41.6692
lcph,32.485,34.7183
lrop,26.085,44.5711
ltfj,29.3092,40.8983
ltba,28.8142,40.9761
ller,35.0142,29.7272
kewr,-74.1687,40.6925
lgts,22.9709,40.5197
epkk,19.7847,50.0778
lhbp,19.2619,47.4394
loww,16.5697,48.1103
cyyz,-79.6307,43.6767
heca,31.4139,30.1114
lime,9.7003,45.6689
ltai,30.7928,36.9003
ubbb,50.0514,40.4697
limc,8.7231,45.63
lbsf,23.4083,42.695
omaa,54.6511,24.4331
eblg,5.4428,50.6364
lsgg,6.1094,46.2383
eddb,13.5007,52.3622
lfsb,7.5292,47.59
lgav,23.9445,37.9367
lfpo,2.3794,48.7233
liph,12.1978,45.6508
ugsb,41.5994,41.6102
edsb,8.0805,48.7794
umms,28.0308,53.8825
lhdc,21.6153,47.4889
kord,-87.9066,41.9745
lemd,-3.5608,40.4722
ebbr,4.4844,50.9014
katl,-84.4279,33.6367
eddf,8.5705,50.0333
uudd,37.9064,55.4086
lukk,28.9308,46.9278
lfll,5.0811,45.7256
limf,7.6494,45.2025
kjfk,-73.7787,40.6399
uuee,37.4131,55.9725
eyvi,25.2878,54.6369
eggw,-0.3683,51.8747
epmo,20.6519,52.4511
libd,16.765,41.1381
egkk,-0.1903,51.1481
urkk,39.1703,45.0347
eppo,16.8264,52.4211
lclk,33.6303,34.8789
lppt,-9.1342,38.7742
udyz,44.3959,40.1473
ukoo,30.6764,46.4267
lbwn,27.8253,43.2319
vtsp,98.3092,8.1125
kmia,-80.2901,25.7954
eddp,12.2364,51.424
obbi,50.6337,26.2708
lirn,14.2908,40.8844
ebci,4.4528,50.46
klax,-118.408,33.9425
ksfo,-122.3754,37.6188
egcc,-2.275,53.3539
fsia,55.5219,-4.6743
ukhh,36.29,49.9269
ulli,30.2625,59.8003
engm,11.0839,60.2028
evra,23.9711,56.9236
uttt,69.2817,41.2567
lfml,5.215,43.4367
lfmn,7.215,43.6653
vidp,77.1122,28.5686
ukdd,35.1006,48.3572
kteb,-74.0608,40.8501
eddk,7.1427,50.8659
vabb,72.8661,19.0917
vtbs,100.7489,13.6858
lipe,11.2969,44.5308
lmml,14.4774,35.8575
lfls,5.3328,45.3631
ltbj,27.155,38.2892
efkt,24.8481,67.6986
ojai,35.9946,31.7241
egss,0.235,51.885
uaaa,77.0439,43.3556
,177.4436,-17.7564
zggg,113.3083,23.3933
uuww,37.2731,55.5992
egkb,0.0325,51.3308
lrcl,23.6922,46.7892
lria,27.6208,47.1803
urrp,39.9247,47.4939
omdw,55.1756,24.9183
ukde,35.315,47.8672
llbg,34.8856,32.0094
